.comfax,MessageClick
Millennium Optical Networks,Sphera Optical Networks
"Mimeon, Inc.","Momenta Pharmaceuticals, Inc. "
Minirth Meier New Life Ctr,New Life Treatment Centers
"MinVasive Devices, Inc.","Innovasive Devices, Inc."
MIPS Computer Systems,"MIPS Technologies, Inc. "
Miris Medical Corporation,Aradigm Corporation
"Mistletoe Technologies, Inc.",GigaFin Networks
"Mitrix, Inc.",Amitive Inc.
"MixMe Networks, Inc.","Dynamics Direct, Inc. "
"Moab, Inc.","Infinity Pharmaceuticals, Inc. "
Mobeus Corporation,Vlingo Corporation
"MobileStream Wireless, Inc.","SceneScape, Inc. "
"Mobileum, Inc.","Roamware, Inc. "
"Mobility Electronics, Inc.","iGo, Inc. "
Mobility Network Systems,"Azaire Networks, Inc. "
"Mobility Technologies, Inc.","Traffic.com, Inc.  "
Model E Corporation,"Build-To-Order, Inc. "
"Modern Age Books, Inc.",Books24x7
"Molecular Analysis, Inc.","Aprogenex, Inc. "
"Molecular BioPhysics, Inc.","Signature Bioscience, Inc. "
MomandpopRx,"SymRx, Inc. "
Momentum Partners,Mixed Media Group Inc.
"Monan, Inc.",Paxera Corporation
"Moneyline Network, Inc.",Moneyline Telerate
"MoneyStar Communications, Inc.","Cofiniti, Inc. "
Monolithic Microsystems,"Microwave Technology, Inc. "
"Monolithic System Technology, Inc.","MoSys, Inc. "
Montage Software,Illustra Information Technologies Inc
"Monticello Corporation, The","WuliWeb, Inc. "
Moonlight Media,"Vention, Inc. "
"Moonstorm, Inc.","Cellfire, Inc. "
"Mophie, Inc.","Kluster, Inc. "
Morewood Molecular Sciences Inc,Reaction Biology Corp
"Moritz Mining Co., Inc.",Moritz Energy Corporation
Mosaic Pharmaceutical,"Sunesis Pharmaceuticals, Inc. "
"Mosaic Technologies, Inc.",MT Technologies
Mosiac Technlogies,"Ontologic, Inc. "
Moteiv Corporation,Sentilla Corporation
"Mother Nature's General Store, Inc.",MotherNature.com
Motient Corporation,TerreStar Corporation
Motivation Online,CultureWorx
"Motive Communications, Inc.","Motive, Inc.  "
Motorola Software Enterpr,First International Digital
Mountain West Banking Corp,Vectra Banking Corporation
Movie Magic Technologies,Studio Systems Inc.
"MovieStreet, Inc.",FamilyWonder.com.
Mpath International,"HearMe, Inc. "
Mpex BioScience,"Mpex Pharmaceuticals, Inc. "
mPower Auto,vAuto
"Mpower Communications, Inc.",Mpower Holding Corp.
MRxOnline,HealthCentrics
"MSC Technologies, Inc.",Mouse Systems Corporation
"MTH, Inc.",Vinet Corp.
"Mu Security, Inc.",Mu Dynamics
"Multex Systems, Inc.",Multex.com
Multichannel Communications,Broadband Innovations
"MultiGen, Inc.","MultiGen-Paradigm, Inc "
MultiMedia Networks,"Agile Networks, Inc."
"Multimedia Networks, Inc.",PeopleJam
"Multiplications, Inc.","Multisystems, Inc. "
MultiTechnology Corporation,"MTS-CP, L.P. "
"Multitude, Inc.","Firetalk Communications, Inc. "
"MuniAuction, Inc.","Grant Street Group, Inc. "
Musicmaker.com,"George Foreman Enterprises, Inc. "
MusicNet,"MNI Interactive, Inc. "
"MV Medical Devices, Inc.","Appriva Medical, Inc. "
MWB Assoc.,"Comprehensive Addiction Programs, Inc. "
"MWOE Solar, Inc.",Xunlight Corporation
MyAssociation.com,"BlueStep, Inc. "
Mycometrix Corporation,Fluidigm Corporation
MyComputer.com,"Omniture, Inc. "
"MyContracts.com, Inc.","Accruent, Inc. "
Mycotech Corp.,Emerald BioAgriculture Corporation
myCustoms.com,"Open Harbor, Inc. "
"MyDrugRep, Inc.","Lathian Systems, Inc. "
"MyDTV, Inc.","MeeVee, Inc. "
"Mydya, Inc.","DailyMe, Inc. "
"MyEvents.com, Inc.",Collabrio Technologies Corporation
MYfeed.com,"NewsMarket, Inc., The "
"mylegs.com, Inc.",Gazelle.com
"myMoneyPro.com, Inc.","Oberon Financial Technology, Inc. "
MyNetSales.com,"Salesnet, Inc. "
"Myogen, Inc.","Gilead Colorado, Inc. "
MyOnlyCatalog.com,Commerce Syndication Network
"MyOwn.MD, Inc.","SafeMed, Inc. "
"Myrica Networks, Inc.","Vativ Technologies, Inc. "
mySource Communications,"Quantenna Communications, Inc. "
Mystic Health Group,"Mariner Health Group, Inc."
"myWebOS.com, Inc.","WebOS.com, Inc. "
N K Laboratories,"Dianon Systems, Inc. "
"N'Site Solutions, Inc","ClaimHub, Inc. "
"N2, Inc.",Actuate Corporation
"Nano Network Engines, Inc.","Fortisphere, Inc. "
"Nano Network Engines, Inc.",Cerulean
"Nanocast Labs, Inc.","MixerCast, Inc. "
"NanoMedex, Inc.","NanoMedex Pharmaceuticals, Inc. "
Nanopharma Corporation,"Mersana Therapeutics, Inc. "
Nanophore,"Nanogen, Inc. "
NanoRx,"Adaptive Therapeutics, Inc. "
Nanotech Corporation,"Flexpoint Sensor Systems, Inc. "
"Nanotectonica, Inc.","Kovio, Inc. "
"Narad Networks, Inc.",PhyFlex Networks
"NarrowCast Concepts, Inc.","TechRepublic, Inc. "
National Compute,International Computer Security Assoc.
"National Dispatch Center, Inc.",Aradiant Corporation
National Hyperbaric Rehab Center Inc.,Sancuro Corp
National Syringe Disposal,"Disposal Sciences, Inc. "
Nationwide Wireless Network,Destineer Corporation
Natl Remittance Centers,Nationwide Remittance Centers
"Natpal, Inc.","Yodle, Inc. "
"Natpro, Inc.","Calyx Therapeutics, Inc. "
Natural Technologies,"NTI Whiteriver, Inc. "
Navion Software Corp.,RuleStream Corporation
"Navix Radiology Systems, Inc.","Navix Diagnostix, Inc. "
"NBI Development, Inc.",Nevro Corporation
"NBT Technology, Inc.","Riverbed Technology, Inc. "
"NCC Group, Inc.","Advanced Tobacco Products, Inc. "
nCircle Communications,"ePocrates, Inc. "
"nCore Networks, Inc.","Force10 Networks, Inc. "
Near Space Communications,"Telesis Technologies, Inc. "
"NEB Technologies, Inc.",Pantero Corporation
"Need2buy.com, Inc.","RiverOne, Inc. "
Nellcor Incorporated,Nellcor Puritan-Bennett
"Nemogen, Inc.; Cognetics","Sention, Inc. "
"NeoButler, Inc.","Mirador Systems, Inc. "
Neomed Corp.,Premi Care
Neopad Technologies Corporation,NexPlanar Corporation
NeoRx Corporation,"Poniard Pharmaceuticals, Inc. "
NeoSilicon,"Resonext Communications, Inc. "
NeoThermia Corporation,Intact Medical Corporation
Neoworld Holdings LLC,"NeoWorld, Inc. "
"Nephros Therapeutics, Inc.","RenaMed Biologics, Inc. "
"Net Access, Inc.",Espiria
"Net Contents, Inc.",Wine.com
"Net Earnings, Inc.","LiveCapital, Inc.  "
"Net Perceptions, Inc.","Stamford Industrial Group, Inc. "
Net Target,Relevant Technologies
Net-It Software Corporation,Allegis Corporation
Net4Music,"MakeMusic, Inc.  "
Net2000 Group,"Net2000 Communications, Inc. "
"Netabase, Inc.","CenterBoard, Inc. "
"NetCableTV, Inc.","PermissionTV, Inc. "
"NetContext, Inc.","LUMAPATH, Inc. "
"Netflix.com, Inc.","Netflix, Inc. "
NetInfo,NetCentric Corporation
NetInTouch,"Contact Networks, Inc. "
"Netiva, Inc.","Portera Systems, Inc. "
"Netlogic, Inc. ",Voxitas
"NetOnCourse, Inc.","Invoke Solutions, Inc. "
"NetPartners Internet Solutions, Inc.","Websense, Inc. "
"NetPlexus, Inc.",Clean Communications
"Netpliance, Inc.",Tipping Point Technologies
"NetRight Technologies, Inc.","iManage, Inc. "
"NetSanity, Inc.","Soltima, Inc. "
"NetSelect, Inc.","Move, Inc. "
"NetStart, Inc.","CareerBuilder, Inc. "
"NetsWork, Inc.","Financial Technical Services, Inc. "
"Nettech Systems, Inc.",Broadbeam Corporation
NetVet-rx.com,VetMedsupply.com
Netway,"Catene Systems, Inc. "
"Netwhistle.com, Inc.","Statusphere, Inc. "
Network Appliance Corporation,"Netapp, Inc. "
"Network Design Tools, Inc.","RSoft Design Group, Inc. "
Network Flight Recorder Inc.,NFR Security
"Network Inference, Inc.","Cerebra, Inc. "
"Network Integrity, Inc.",LiveVault Corporation
Network Intelligence Inc.,nii communications
"Network Management Services, Inc.","eBenX, Inc. "
Network Performance Systems,"Response Networks, Inc. "
"Network Robots, Inc.","Bivio Networks, Inc.  "
Network Switch Engines,Desana Systems Corporation
Network Vaguard,"Stoke, Inc. "
"NetworkOil.com, Inc.","Network International, Inc. "
"NetZero, Inc.",United Online
"NeuBond, Inc.","Traverse Networks, Inc. "
Neurogenetic Corp,Synaptic Pharmaceutical Corporation
"Neurogenetics, Inc.","TorreyPines Therapeutics, Inc. "
"Neuron Data, Inc.","Blaze Software, Inc. "
Neuroscience Solutions Corp.,Posit Science Corp.
Neurotech Pharma,Neurotech USA
Neurotech SA,Neurotech USA
New Access Communications,"Zaffire, Inc.  "
"New Orleans Exchange,Inc.","Receivables Exchange LLC, The"
Newpac Industries,NEWFLO Corporation
NewRiver Investor Communications,"NewRiver, Inc. "
"News Alert, Inc.","InLumen, Inc. "
"NewsDB, Inc.","Daylife, Inc. "
"NewsStand, Inc.",LibreDigital
Newwatch,Ashford.com
"NewZing.com, Inc.","Blend MediaWorks, Inc. "
"NexRay, Inc. ","NovaRay, Inc. "
Nextec Corporate Communications,"FreeDrive, Inc. "
"NextGig, Inc.","WireCache, Inc. "
"NextObjects, Inc.","Black Ink Systems, Inc. "
NextWave Technologies,Syncrodyne Systems Corporation
"NextWave Telecom, Inc.",NextWave Wireless LLC
"Nexus Energy Software, Inc.",Nexus Energyguide
"NexVerse Networks, Inc.","Veraz Networks, Inc. "
NexWave,"Auxora, Inc. "
NFA Group,ClearKey
"NGOA, Inc.","Turn, Inc. "
"Nisus, Inc.","Leap, Inc. "
NMS Communications,"LiveWire Mobile, Inc. "
Noble Device Technologies,NoblePeak Vision Corporation
NoMac Energy Systems,Capstone Turbine Corporation
Nomadic Systems Inc,"SmartDelta, Inc."
"Noosh, Inc.","NewlineNoosh, Inc. "
"Norak Biosciences, Inc.",Xsira Pharmaceuticals
North Mountain Software,ConsenSys Software Corporation
Northface University,Neumont University
Notework Corp.,Professional Productivity Corp.
Notre Inc.,"Firekey, Inc. "
Nova Graphics International Corp.,DTM Corporation
"Novacea, Inc.","Transcept Pharmaceuticals, Inc. "
"Novasensor, Inc.",GE Novasensor
Novasonics,"ZONARE Medical Systems, Inc. "
"Novazen, Inc.","Solant, Inc. "
Novirio Pharmaceuticals,"Idenix Pharmaceuticals, Inc.  "
Novum-CRC,"nTouch Research, Inc. "
Novus Security Systems,"NovusEdge, Inc. "
"NoWonder, Inc.","ePeople, Inc. "
NPI,"Agridyne Technologies, Inc. "
NPULSE Software,"Alignment Software, Inc. "
"nQuest, Inc.",AnswerLogic
NStructures,Stion Corporation
"Nteryx, Inc.","Ardelyx, Inc. "
"Nth Orbit, Inc.","Certus Software, Inc. "
Nu Thena Systems,"Athena Systems, Inc. "
Nueweb Interactive,Exemplum
Nutritional Management,"Weight Masters, Inc. "
Oakwood,Sunrise Care and Rehabilitation for Brighton
"Oasys Technologies, Inc.","Onetta, Inc. "
"OBA America, Inc.","Synergy Healthcare Services, Inc. "
"ObitDetails, LLC","Legacy.com, Inc. "
Object Switch Corporation,"Kabira Technologies, Inc. "
"ObjectAutomation, Inc.","Wellspring Solutions, Inc. "
Oceania Health Care Systems,"Oceania, Inc. "
"Octavian Scientific, Inc.",Advanced Inquiry Systems
Odyssey Pharmaceuticals,"Odyssey Thera, Inc. "
"Odyssey Technologies, Inc.","CryoVascular Systems, Inc. "
"OEpic, Inc.","OEpic Semiconductors, Inc. "
Office Mart Holdings Corporation,"Staples, Inc. "
Office Products Holdings,Office Mart Holdings
"OfficeClick.com, Inc.",Vendavo Corporation
"Oingo, Inc.","Applied Semantics, Inc. "
Old Road Computing Corporation,"Virtual Computer, Inc. "
"OmegaTech, Inc.",Martek Biosciences Boulder Corp.
"Omneon Video Networks, Inc.","Omneon, Inc. "
Omni Technologies,Omnicad Technology Corporation
"Omni-Explorer Technologies, Inc.","Vast.com, Inc. "
"OmniCluster Technologies, Inc.",14 South Networks
Omniquest Soft,Collaborative Technologies Corporation
On the Go Software,Managemark
On2.com,"On2 Technologies, Inc. "
"Oncocath, Inc.","Proxima Therapeutics, Inc. "
"Oncolab, Inc.","Primary Diagnostics, Inc. "
"Oncotech, Inc.","Exiqon Diagnostics, Inc. "
"One Touch Star, Inc.",RockeTalk
One Tough America,"My Alarm, Inc. "
"OnFiber Networks, Inc.","OnFiber Communications, Inc. "
"OnGuard Systems, Inc",Bridge Semiconductor Corporation
"Online Monitoring Services, Inc.","Cyveillance, Inc. "
"Online Retail Partners, Inc.",Accordia
"OnMeta, Inc.",BiggerBoat
"OnSite Docs, Inc.","Carena, Inc. "
OnsiteRx,"MedVantx, Inc. "
"Ontologic, Inc.","Ontos, Inc. "
"ONTYX, Inc.",Apelon Inc.
Opal Technologies Ltd.,"Opal, Inc. "
"Open Copyright Database, Inc.","Snocap, Inc. "
Open Data Corporation,"NetScheme Solutions, Inc. "
Open NT,"Softway Systems, Inc. "
Openads,"OpenX Technologies, Inc. "
"OpenReach, Inc.","Corente, Inc. "
OpenSales,Zelerate
"OpenTel, Inc.","VocalData, Inc. "
OpsXchange,"OpsTechnology, Inc. "
"optIC, Inc","Oluma, Inc. "
"Optical Data Systems, Inc.","ODS Networks, Inc. "
"Optical Networks, Inc.",ONI Systems Corporation
"Optical Sensors, Inc.","Vasamed, Inc. "
Optical Technology Solutions Corp.,"Optinetrics, Inc.  "
Optigrab,"Endeca Technologies, Inc. "
"Optika Imaging Systems, Inc.","Optika, Inc. "
Optimal Solutions,"Synopsys, Inc. "
"Optimeme, Inc.","Imeem, Inc. "
Optimum Communications,"Opcom, Inc. "
"Optitek, Inc.","Siros Technologies, Inc. "
"Optium, Inc.",Optium Corporation
Optologic,Accuwave Corporation
"Optopo, Inc.",Centice Corporation
OptoSphere Inc.,Alphion Corporation
"OraVax, Inc.",Acambis
Orbital Communications Corporation,"ORBCOMM, Inc. "
Orbital Data Corporation,Citrix WANScaler
Orbital Systems Corp.,Orbital Sciences Corporation
Orion Satellite Corporation,"Loral Orion Services, Inc. "
OrthoNeuro Corp.,"Hospital Partners of America, Inc. "
Ossification,Elan Corporation
"OsteoNet.com, Inc.","ImaTx: Imaging Therapeutics, Inc. "
Oti Corp.,"Overseas Telecommunications, Inc. "
OuiShare,"FullSeven Technologies, Inc. "
Outfoxed Corporation,"Lijit Networks, Inc. "
"OutPurchase.com, Inc.",OPi Software
Outreach Communications,ClearCommerce Corporation
"Oxyplus, Inc.","NormOxys, Inc. "
"P-COM, Inc.",Wave Wireless Corporation
Pacific Internet Exchange,"Pihana Pacific, Inc. "
Pacific Pay Video,MagiNet Corporation
"Pacific Therapeutics, Inc.","Nuon Therapeutics, Inc. "
Packtion Corp.,Packaging Markets
"PageMart Wireless, Inc.","Weblink Wireless, Inc. "
Palantir Analytics Corporation,"Veratect, Inc. "
Palantir Corporation,"Calera Recognition Systems, Inc. "
"Paligent, Inc.","International Fight League, Inc. "
Palladium Data Systems,"Epoch Systems, Inc. "
PalmMicro Communications,Centrality Communications
"palmOne, Inc.","Palm, Inc. "
Palmspring Software,"Handmark, Inc. "
Palo Alto Coffee Company,"Xtime, Inc. "
PanaSite Software Inc.,UpdateThis.com
Panscopic Corporation,JasperSoft Corporation
Pantheon Systems,Management Information Sciences
paper2net.com,"Movaris, Inc. "
"Papyrus Technology, Inc.","Kanisa, Inc. "
"PAR3 Communications, Inc.",Varolii Corporation
Parable Corporation,ThingWorld.com
"Paracor Surgical, Inc.","Paracor Medical, Inc. "
"Paradigm Genetics, Inc.","Icoria, Inc.  "
Paragon Financial Corp.,"NewMarket Latin America, Inc. "
"Paragon Management Systems, Inc.","Adexa, Inc. "
"Paragraphics Publishing, Inc.","I-Mark, Inc."
"Parallan Computer, Inc.","Meridian Data, Inc. "
"Paramin, Inc.",Linkware Corporation
"ParaTecH Therapeutics, Inc.","Zelos Therapeutics, Inc. "
Park Scientific,Park Scientific Instruments
Parsec,Convex Computer Corporation
Parsec Communications,"TeraPhase Technologies, Inc. "
"Passenger, Inc.","Think Passenger, Inc. "
"Passkey.com, Inc.","Passkey International, Inc. "
"Pathology Partners, Inc.",Caris Diagnostics
"Pavonis, Inc.","Beautymedicines, Inc. "
Paw.net,Petopia.com
"PayPerPost, Inc.","IZEA, Inc. "
"PBWiki, Inc.",PBworks
PCS Development Corporation,CONXUS Communications
Peach Tree Bancard Corp,Harbridge Merchant Services
PED Software,"PointCast, Inc. "
Peer Research,Quicklogic Corporation
"Peermeta, Inc.",Azuki Systems
"Pegas Pharmaceuticals, Inc.","Focal, Inc. "
Pegasus Pharmaceutical,QuatRx Pharmaceuticals Company
"Pelican Companies, Inc.",Builders FirstSource-SE Group
PEM Technologies,"Naviscan PET Systems, Inc. "
PEN Group,ProSavvy
"Penergy, Inc.","Presidio Systems, Inc. "
Peninsula Wireless Comm,"Repeater Technologies, Inc. "
"PenStuff, Inc.",All Points Software
"Peregrine, Inc.","JAG Holdings, Inc. "
PerfectPractice.MD,"AdvancedMD Software, Inc. "
Perimeter Internetworking,"Perimeter eSecurity, Inc. "
Periphio Corporation,"DoDots, Inc.  "
"Perksatwork.com, Inc.","Abilizer Solutions, Inc. "
"Perpetual Link, Inc.","RemoteAbility, Inc. "
"Persona Software, Inc.","LongBoard, Inc. "
"Personal Productivity Tools, Inc.","MobileSys, Inc. "
"Personic Software, Inc.; EZaccess, Inc.",Xperius
Persyst Corporation,"Personal Systems Technology, Inc. "
Pervado,"Allmystuff, Inc. "
"Pervasive Security Systems, Inc.","PSS Systems, Inc. "
Pet Funding Corporation,"Petstuff, Inc. "
Petrogen Corporation,"Pluris Energy Group, Inc. "
Petroware Systems Inc,Conversant Software Corporation
"PFN, Inc.",Thundercloud Cloud
"Pharmaceutical Formulations, Inc.","14605, Inc. "
Pharmaceutical Peptides,"Praecis Pharmaceuticals, Inc. "
"Pharmacopeia Drug Discovery, Inc.","Pharmacopeia, Inc. "
"Pharmacopeia, Inc.","Accelrys, Inc. "
"Pharmadigm, Inc.","Inflabloc Pharmaceuticals, Inc. "
"PharmaTech Solutions, Inc.","Inclinix, Inc. "
"PharmAthene, Inc.",PharmAthene US Corporation
"Pharmena North America, Inc.",Cortria Corporation
"Phoenix Coal Corporation, Inc.","Phoenix Coal, Inc. "
Phoenix Industries,Drilling Information Service
Phone.com,"Openwave Systems, Inc. "
"PhoneBites, Inc.","Razz, Inc. "
PhonePrint,"Corsair Communications, Inc. "
Phoresis Transfer Systems,"Bionovus, Inc. "
Photonics Corporation,"Small Cap Strategies, Inc. "
Photophone Company,Image Data Corporation
"PhotoTablet, Inc.","Fotiva, Inc.  "
"PhyCor, Inc.","Aveta Health, Inc. "
Physician Weblink,"Syntiro Healthcare Services, Inc. "
Physicians Data Corporation,Intellego
Physicians Decisions,FIRSTConsult
Physicians Healthcare Plans,Carolina Care Plan Inc.
"Physiome Sciences, Inc.","Predix Pharmaceuticals, Inc. "
"Pi Medical, Inc.","Restore Medical, Inc.  "
"Picoliter, Inc.","Labcyte, Inc. "
Piezomax,
"Pine Cone Systems, Inc.","Ambeo, Inc. "
Pioneer Valley Home Infusion,"Protocare, Inc. "
Pipe Technology Inc,Ico Universal Tubular
"Pipestone Group, Inc.","Trailfire, Inc. "
"Pita World,The",Purple Onion
"Pivot Solutions, Inc.","Pivot, Inc. "
"PiXPO, Inc.","Mixpo, Inc. "
Planet 7 Technologies,"Agital, Inc. "
"Planning Dialogs, Inc.",WebIQ
PlanSoft Corporation,OnVantage
Plant Pharmaceuticals Inc,Phytera Inc
"Play Hard Sports, Inc.","Quick Hit, Inc. "
Play Streaming Media Group,"GlobalStreams, Inc. "
Plenan Systems,Applicast
"Plexee, Inc.","SailPoint Technologies, Inc. "
"PNV.net, Inc., FKA: Park N View, Inc.","PNV, Inc. "
PocketDBA Systems,Expand Beyond Corporation
"PocketScience, Inc.","Pocket.com, Inc.  "
"PocketThis, Inc.",PhoneSpots
PodBridge,"VoloMedia, Inc. "
"PodShow, Inc.","MEVIO, Inc. "
Poindexter Systems,"[x+1], Inc. "
Point Information Network,Wavelink Corporation
"Point Therapeutics, Inc.",DARA Biosciences
Police Data Systems,Command Data Systems
"PolicyOne, Inc.",iPolicy Networks
Pollard Road,Atlantic Aerospace Electronics Corp.
"Polycell, Inc.","Quest Biotechnology, Inc. "
"Polygen, Corp",Polygen-Molecular Systems
"PolymorfiX, Inc.","BAROnova, Inc. "
Ponderosa Fibres of PA,"Northampton Pulp, LLC "
"PopJax, Inc.","VideoJax, Inc. "
Portable Energy Products,Innergy Power Corporation
Portable Software Corp.,"Concur Technologies, Inc. "
"Portal Information Network, Inc","Portal Software, Inc. "
"PostModern Media, Inc.",Network Sound
Power Micro Research,"VIEO, Inc. "
"PowerByHand, Inc.","Motricity, Inc. "
Powerllel Corporation,ASPEED Software
"PowerLoom, Inc.",Dynamix Technologies
"PowerUp Networks, Inc.","Voyence, Inc. "
"PPM, Inc.",Polaris Wireless
"Practical Instruments, Inc.","Soliant Energy, Inc. "
"Precision Robots, Inc.","PRI Automation, Inc. "
Predation,Entomos LLC
Predicant Biosciences,"Pathwork Diagnostics, Inc. "
Predict Systems,Instinctiv
Premier R.F.,"Tropian, Inc. "
"Premonition Technologies, Inc.","BizGenics, Inc. "
Presto Digital Systems,Impresse Corporation
Pretime.com,"Test University, Inc. "
"Primary Networks, Inc.","Acme Packet, Inc. "
Prime Health Services,"Kelson Physician Partners, Inc. "
Prime Vision Group,"OptiCare Health Systems, Inc. "
Princeton Electronics Sys,"Princeton Optronics, Inc. "
"printCafe Systems, Inc.","Printcafe Software, Inc."
"PrivaSeek, Inc.","Persona, Inc. "
"Prizm Pharmaceuticals, Inc.","Selective Genetics, Inc. "
Proactive Networks,"ProactiveNet, Inc. "
ProActive Software,Vantive Corporation
"ProAir Services, Inc.",Service Experts
"Probix, Inc.","OmniTrust, Inc. "
"Probotics, Inc.","Aethon, Inc. "
ProCase Corporation,"Perspective Software, Inc. "
"ProCommunications, Inc.",Signius Communications
Procurest,Crosspoint
ProduceOnline.com,Attivare Software Solutions
"Product POP, Inc.","Collabridge Technologies, Inc. "
"Production Group International, Inc.","PGI, Inc. "
Productivity System,PS Group
Productiviy Products Int'l,"Stepstone Corporation, The "
Professional Training Syst,Interactive Health Network
"Proficient Networks, Inc.",InfiniRoute Networks Inc.
"Progenx, Inc.","Ligand Pharmaceuticals, Inc. "
Progressive Bagel Concepts,"Einstein/Noah Bagels, Corp. "
"Progressive GaitWays, LLC","TheraTogs, Inc. "
"Progressive Networks, Inc.","RealNetworks, Inc. "
"Project Austin, Inc.","Trigo Technologies, Inc. "
Project Mayo,"DivX, Inc. "
ProjectEdgar,"Pinger, Inc. "
PROLINK,Azimuth Corporation
"Promobid.com, Inc.","Freeborders, Inc. "
"PropheSi Technologies, Inc.",PulseWave RF
Proretail,PLmarket
Prosenium Corporation,"Qpass, Inc. "
"Prosum, Inc.","Entuity, Inc. "
"Protein Databases, Inc.",IDP Liquidating Corporation
Protein Delivery,Nobex Corporation
"ProteoGuard, Inc.","Proteostasis Therapeutics, Inc. "
"Proteus Mobile, Inc.","m-Qube, Inc. "
"Prototype Packaging, LLC","Aridien, Inc. "
"ProTrade Sports, Inc.","Citizen Sports, Inc "
"Proximare, Inc.","Coherex Medical, Inc. "
"Proxy Communications, Inc.","Proxy Message Center, Inc. "
PS Pharmaceuticals,Napo Pharmaceuticals
"PTEK Holdings, Ltd.","Premiere Global Services, Inc. "
Publishing Technology,"Softra, Inc. "
"Pumatech, Inc.",Intellisync Corporation
"Purchasing Group, Inc",ICG Commerce
PurchasingCenter.com,Excara
Pure Markets Corporation,Captara Corporation
PurpleYogi.com,"Stratify, Inc. "
"PyBiz, Inc.","Coherity, Inc.  "
Q.E.D. Software,Further Inspection
"Qcorps Residential, Inc.","WhiteFence, Inc. "
QED Innovations,netDecide
"QED Solutions, Inc.","DrugLogic, Inc. "
QMC Technologies,"Motion Control Group "
"QOptics, Inc.","Elematics, Inc. "
QSSolutions Engineered Systems,Dellego Technologies
Quadratec SA,"Atempo, Inc. "
"Quantum Leap Technology, Inc.","ClearEdge Power, Inc. "
"QuArc, Inc.",Mobilygen Corporation
QUARIS Corporation,Quantivo Corporation
"Quarterdeck Office Systems, Inc.",Quarterdeck Corp.
Quarterscope Solutions,"Skyhook Wireless, Inc. "
"Quartet Biosciences, Inc.","Regado Biosciences, Inc. "
"Querisoft, Inc.",Entevo Corporation
Quest Employee Locator Inc.,"QuestLink Systems, Inc. "
Quester IT,Quester Software
"QueueCard, Inc.","QSecure, Inc. "
"QuickMedx, Inc.",MinuteClinic
"Quivox Systems, Inc. ",Iodev LLC
Qumed,"Apprise, Inc. "
"Quovadx, Inc.","Healthvision Solutions, Inc. "
QVIX Technologies,"SightSpeed, Inc. "
R & D Systems Inc,Research & Diagnostic Systems
"R-Tech Ueno, Inc.","Sucampo Pharmaceuticals, Inc. "
r3,Real Time Radiography
"Radiate, Inc.","Loopt, Inc. "
Radio Fresno,"Radio Santa Barbara, Inc. "
Radio One of Atlanta,Radio One
"Radio Router, Inc.","Flarion Technologies, Inc. "
Radio Telephone,"Boston Communications Group, Inc. "
RadioAMP.com,NextRadio Solutions.
RadioVoodoo,"VoodooVox, Inc. "
Radix Microsystems,RadiSys Corporation
Radix Wireless,"BeamReach Networks, Inc.  "
Raindance Communications,InterCall
"Raindrop Geomagic, Inc.","Geomagic, Inc. "
"Rajmataj, Inc.","Cereva Networks, Inc. "
"RajyaBiotics, Inc.","Elitra Pharmaceuticals, Inc. "
"Ralin Medical, Inc","CorSolutions Medical, Inc. "
Rampart Security Group,"Foundstone, Inc. "
Rampt.com Holdings Inc,Capacity Technologies
RAMSAFE Technologies LLC,"Previstar, Inc. "
"Ramteck II, Inc.","EnviroTech Systems, Inc.  "
Rapid Clip Neural Systems,"Netuitive, Inc. "
RasterOps Corporation,"Truevision, Inc. "
"RC Networks, Inc.","Viadux, Inc. "
RCG Management,"Alitum, Inc. "
RCS International,"Global Vantedge, Inc. "
"Rdc Dental, Inc.","Jonathan Health Services Intl, Inc. "
RE/Locate,RealtyIQ
"Reachout.com, Inc.","TeleGea.com, Inc. "
"ReacTV, Inc.","Zatso, Inc. "
"Real Time Techcomm, Inc.","Silver Spring Networks, Inc. "
"Reata Discovery, Inc.","Reata Pharmaceuticals, Inc. "
ReceiptCity.com,"Crossvue, Inc. "
Receptor Technologies,"Acadia Pharmaceuticals, Inc. "
"Recommender, Inc.",Verb
Recovery Solutions,Amerivault Corporation
"Recruitmax Software, Inc.","Vurv Technology, Inc. "
Redgate Publishing,Redgate Communications Corporation
"RedKnife, Inc.","OpenLatitude, Inc. "
Reference Information Systems,"Archivas, Inc. "
Referrals.com,Referral Networks
Regency Beauty Academy,"Regency Beauty Institute, Inc. "
Regis Touch Software,Hands-On Technology
Rejuvenon Corporation,"Sapphire Therapeutics, Inc. "
Relations Software Corp,Luminate Software Corporation
Relationships.com,SocialNet Inc.
Release Software Corporation,ReleaseNow.Com
ReliaSoft Corporation,Envive Corporation
"Remanage, Inc.","PropertyView Solutions, Inc. "
Remediation Systems,Vapex Environmental Technologies
"Renaissance Engineering, Inc.",Cohesia Corporation
RenaissanceNetwork Technology Corp,CrystalVoice Corp.
RenalTech,MedaSorb Corporation
Renewable Chemicals,"Elevance Renewable Sciences, Inc. "
"Renovia, Inc.","Ocera Therapeutics, Inc. "
"Replay Networks, Inc.",ReplayTV Inc.
"Replidyne, Inc.","Cardiovascular Systems, Inc. "
"RepWire, Inc.","PreferredTime, Inc. "
"Resolute Software, Inc.",Foglight Software
"ReSolutions Group, Inc.",RadixOne
Resonant Commerce,Optivo Corporation
Resonic Instruments GmbH,"TF Instruments, Inc. "
